"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"2212","Event 5350-2018","2","2018-12-04 21:30 UT","2018-12-04 22:30								CET","FR","Bourgogne-Franche-Comté, Centre-Val de Loire","2 no","2 no","2 no"
"2310","Event 5453-2018","1","2018-12-04 21:20 UT","2018-12-04 21:20								GMT","GB","Scotland","1 no","1 no","1 no"
"2410","Event 5374-2018","1","2018-12-04 19:25 UT","2018-12-04 20:25								CET","FR","Centre-Val de Loire","1 no","1 no","1 no"
"2510","Event 5452-2018","1","2018-12-04 18:55 UT","2018-12-04 19:55								CET","FR","Auvergne-Rhône-Alpes","1 no","1 no","1 no"
"2610","Event 5451-2018","2","2018-12-04 18:50 UT","2018-12-04 19:50								CET","FR","Auvergne-Rhône-Alpes, Occitanie","1 no","1 no","2 no"
"2710","Event 5450-2018","1","2018-12-04 18:05 UT","2018-12-04 19:05								CET","IT","Campania","1 no","1 no","1 no"
"2810","Event 5357-2018","1","2018-12-04 17:06 UT","2018-12-04 18:06								CET","NL","North Holland","n/a","n/a","n/a"
"2910","Event 5341-2018","34","2018-12-04 17:04 UT","2018-12-04 18:04								CET","FR 
										
									    
																			ES","Euskadi, Nouvelle-Aquitaine, Occitanie, Pays de la Loire","25 no","25 no","30 no"
"3010","Event 5449-2018","1","2018-12-04 16:50 UT","2018-12-04 17:50								CET","FR","Corse","n/a","n/a","n/a"
"3114","Event 5448-2018","1","2018-12-04 10:30 UT","2018-12-04 19:30								KST","KR","Gwangju","1 no","1 no","1 no"
"3212","Event 5447-2018","1","2018-12-04 06:53 UT","2018-12-04 00:53								CST","US","TX","1 no","1 no","1 no"
"3310","Event 5351-2018","3","2018-12-04 06:25 UT","2018-12-04 06:25								GMT","GB","England","2 no","3 no","1 no"
"3410","Event 5446-2018","1","2018-12-04 05:45 UT","2018-12-04 00:45								EST","US","GA","n/a","n/a","1 no"
"3510","Event 5445-2018","2","2018-12-04 04:12 UT","2018-12-03 23:12								EST","US","PA","2 no","2 no","2 no"
"3610","Event 5624-2018","2","2018-12-04 03:25 UT","2018-12-03 22:25								EST","JM","St. James Parish","2 no","2 no","2 no"
"3710","Event 5444-2018","1","2018-12-04 03:23 UT","2018-12-03 22:23								EST","US","NJ","1 no","1 no","1 no"
"3810","Event 5443-2018","1","2018-12-04 02:58 UT","2018-12-03 21:58								EST","CA","Ontario","1 no","1 no","1 no"
"3910","Event 5442-2018","1","2018-12-04 02:53 UT","2018-12-03 20:53								CST","US","TX","1 no","1 no","1 no"
"4010","Event 5338-2018","6","2018-12-04 01:30 UT","2018-12-03 17:30								PST","US","WA","6 no","5 no","1 yes 
											
																															
												 2 no"
"4114","Event 5339-2018","12","2018-12-04 01:12 UT","2018-12-03 20:12								EST","US 
										
									    
																			CA",", DE, MA, ME, NH, NY, PA, Québec","9 no","9 no","8 no"
"4212","Event 5441-2018","1","2018-12-04 01:05 UT","2018-12-04 01:05								GMT","GB","Northern Ireland","1 no","1 yes","1 no"
"4310","Event 5440-2018","1","2018-12-04 00:20 UT","2018-12-03 18:20								CST","US","LA","n/a","n/a","1 no"
"4410","Event 5439-2018","1","2018-12-04 00:17 UT","2018-12-03 19:17								EST","US","MD","1 no","1 no","1 no"
"4510","Event 5438-2018","1","2018-12-04 00:15 UT","2018-12-03 19:15								EST","US","SC","1 no","1 no","1 no"
"4610","Event 5437-2018","2","2018-12-03 23:35 UT","2018-12-03 18:35								EST","US","MA, NH","n/a","n/a","1 no"
"4710","Event 5436-2018","1","2018-12-03 23:10 UT","2018-12-03 20:10								-3 time zones","BR","Pernambuco","1 no","1 no","1 no"
"4810","Event 5335-2018","1","2018-12-03 22:23 UT","2018-12-03 20:23								-2 time zones","BR","São Paulo","1 no","1 no","1 no"
