"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"91","Event 5903-2018","2","2018-12-27 08:55 UT","2018-12-27 21:55								NZDT","NZ","Northland","2 no","2 no","1 yes 
											
																															
												 1 no"
"101","Event 5902-2018","1","2018-12-27 07:06 UT","2018-12-27 02:06								EST","US","OH","1 no","1 no","1 no"
"111","Event 5793-2018","31","2018-12-27 03:41 UT","2018-12-26 22:41								EST","US",", DE, MD, NC, PA, SC, VA","23 no","25 no","3 yes 
											
																															
												 20 no"
"121","Event 5901-2018","1","2018-12-27 03:15 UT","2018-12-26 23:15								AST","BM","","1 no","1 no","1 no"
"131","Event 5900-2018","1","2018-12-27 03:10 UT","2018-12-27 04:10								CET","FR","Auvergne-Rhône-Alpes","1 no","1 no","1 no"
"141","Event 5805-2018","4","2018-12-27 02:53 UT","2018-12-26 21:53								EST","US","NC, VA, WV","4 no","4 no","1 yes 
											
																															
												 3 no"
"151","Event 5806-2018","2","2018-12-27 02:28 UT","2018-12-26 21:28								EST","US","OH","2 no","2 no","2 no"
"161","Event 5794-2018","3","2018-12-27 01:43 UT","2018-12-26 20:43								EST","US","NC, VA","2 no","3 no","3 no"
"171","Event 5899-2018","3","2018-12-27 00:59 UT","2018-12-27 01:59								CET","DE 
										
									    
																			CH 
										
									    
																			FR","Auvergne-Rhône-Alpes, Baden-Württemberg, Vaud","2 no","2 no","2 no"
"181","Event 5898-2018","2","2018-12-27 00:30 UT","2018-12-26 19:30								EST","US","KY","2 no","2 no","2 no"
"191","Event 5896-2018","1","2018-12-27 00:25 UT","2018-12-26 20:25								AST","CA","Nouveau-Brunswick","1 no","1 no","1 no"
"201","Event 5967-2018","1","2018-12-27 00:21 UT","2018-12-26 22:21								-2 time zones","BR","São Paulo","1 no","1 no","1 no"
"211","Event 5897-2018","1","2018-12-26 21:50 UT","2018-12-26 16:50								EST","US","ME","n/a","n/a","n/a"
"221","Event 5895-2018","1","2018-12-26 11:52 UT","2018-12-26 22:52								AEDT","AU","New South Wales","1 no","1 no","1 no"
"231","Event 5778-2018","6","2018-12-26 10:49 UT","2018-12-26 04:49								CST","US","TX","1 yes											
																															
												 3 no","4 no","4 yes 
											
																															
												 1 no"
"241","Event 5894-2018","1","2018-12-26 08:20 UT","2018-12-26 03:20								EST","US","OH","1 no","1 no","1 no"
"251","Event 5749-2018","3","2018-12-26 07:45 UT","2018-12-25 23:45								PST","US","CA","3 no","3 no","2 no"
"261","Event 5754-2018","2","2018-12-26 06:38 UT","2018-12-25 23:38								MST","US","CO","2 no","2 no","2 no"
"271","Event 5893-2018","1","2018-12-26 05:45 UT","2018-12-25 22:45								MST","US","NM","1 no","1 no","1 no"
"281","Event 5777-2018","1","2018-12-26 05:15 UT","2018-12-26 00:15								EST","US","MA","1 no","1 no","1 no"
"291","Event 5776-2018","1","2018-12-26 05:14 UT","2018-12-25 23:14								CST","US","MO","1 no","1 no","1 yes"
"301","Event 5775-2018","1","2018-12-26 04:10 UT","2018-12-25 23:10								EST","CA","Québec","1 no","1 no","1 yes"
"311","Event 5774-2018","1","2018-12-26 04:00 UT","2018-12-25 23:00								EST","US","GA","1 no","1 no","1 no"
"321","Event 5892-2018","1","2018-12-26 02:47 UT","2018-12-25 21:47								EST","US","NY","1 no","1 no","1 no"
"331","Event 5781-2018","1","2018-12-26 02:41 UT","2018-12-25 21:41								EST","US","MI","1 no","1 no","n/a"
"341","Event 5809-2018","1","2018-12-26 01:40 UT","2018-12-26 02:40								CET","FR","Bretagne","n/a","n/a","1 no"
"351","Event 5891-2018","1","2018-12-26 00:45 UT","2018-12-25 19:45								EST","US","IN","n/a","n/a","n/a"
"361","Event 5890-2018","1","2018-12-26 00:30 UT","2018-12-26 01:30								CET","FR","Auvergne-Rhône-Alpes","1 no","1 no","n/a"
"371","Event 5750-2018","4","2018-12-25 21:50 UT","2018-12-25 22:50								CET","FR","Occitanie","2 no","2 no","3 no"
"381","Event 5889-2018","1","2018-12-25 21:12 UT","2018-12-25 22:12								CET","DE","Niedersachsen","1 no","1 no","n/a"
"391","Event 5888-2018","1","2018-12-25 10:13 UT","2018-12-25 03:13								MST","US","AZ","1 no","1 no","1 no"
"401","Event 5773-2018","1","2018-12-25 07:17 UT","2018-12-25 02:17								EST","US","GA","1 no","1 no","1 no"
"411","Event 5772-2018","3","2018-12-25 06:30 UT","2018-12-24 22:30								PST","CA 
										
									    
																			US","British Columbia, WA","2 no","2 no","3 no"
"421","Event 5887-2018","1","2018-12-25 04:06 UT","2018-12-24 22:06								CST","US","AL","1 no","1 no","1 no"
"431","Event 5735-2018","11","2018-12-25 02:52 UT","2018-12-24 21:52								EST","CA 
										
									    
																			US","CT, MD, NJ, OH, Ontario, PA","8 no","8 no","3 yes 
											
																															
												 7 no"
"441","Event 5782-2018","1","2018-12-25 02:06 UT","2018-12-24 20:06								CST","US","AL","1 no","1 no","1 no"
"451","Event 5807-2018","2","2018-12-25 01:09 UT","2018-12-25 02:09								CET","CH 
										
									    
																			FR","Auvergne-Rhône-Alpes, Neuchâtel","2 no","2 no","1 yes"
"461","Event 5808-2018","4","2018-12-25 01:05 UT","2018-12-24 20:05								EST","US","NJ, NY, PA","4 no","4 no","1 yes 
											
																															
												 2 no"
"471","Event 5886-2018","2","2018-12-24 22:25 UT","2018-12-24 23:25								CET","FR","Île-de-France, Bretagne","2 no","2 no","1 yes 
											
																															
												 1 no"
"481","Event 5885-2018","1","2018-12-24 21:31 UT","2018-12-24 16:31								EST","US","NC","n/a","n/a","n/a"
